instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr12c,1,21476,0.02,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,2.92,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,5.86,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,5.86,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,5.87,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.85,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.85,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.85,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.85,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.86,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.86,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.86,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,8.86,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,11.56,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,11.56,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,14.39,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,17.19,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,20.06,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,20.06,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,22.83,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,24.22,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,24.22,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,24.22,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,24.22,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,25.43,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,26.89,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,28.34,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,28.34,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,28.35,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,28.35,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,1,21476,29.71,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12c,2,11566,29.72,107.56,5,30,0.4,0.4,5,12,42,"[5, 10, 11, 7, 8, 9, 1, 4, 3, 6, 2, 0]"
