instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr15a,1,38542,0.02,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.44,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.98,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.98,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.53,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.08,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.08,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.08,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.08,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.08,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.69,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.7,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.7,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.7,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.7,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,2.7,111.34,5,30,0.4,0.4,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
