instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc16c,1,202,0.02,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,5.0,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,5.0,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,5.01,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,9.99,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,14.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,14.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,14.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,19.0,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.52,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.52,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.52,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.52,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,23.53,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,28.16,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,28.16,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,28.16,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,28.16,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,32.55,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,32.55,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,37.08,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,41.43,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,41.43,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,41.43,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,41.43,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
Esc16c,1,202,41.43,107.56,5,30,0.4,0.4,5,16,42,"[0, 13, 4, 7, 5, 2, 12, 6, 3, 10, 9, 1, 8, 15, 11, 14]"
