instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc16f,1,0,0.02,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,0.56,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,1.14,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,1.14,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,1.14,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,1.62,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,2.11,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,2.11,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,2.12,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,2.65,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,3.17,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,3.67,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
Esc16f,1,0,3.67,111.34,5,30,0.4,0.4,5,16,42,"[7, 9, 5, 6, 14, 10, 12, 8, 1, 2, 13, 15, 4, 11, 0, 3]"
