instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc16g,1,48,0.02,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,5.66,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,10.62,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,15.76,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,20.95,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,25.92,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,30.99,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,35.74,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,35.74,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,35.74,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,40.63,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,40.63,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,40.64,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,40.64,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,40.64,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,45.4,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,45.4,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,45.4,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,45.4,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,45.41,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,51.04,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,51.04,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,58.93,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,64.51,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,64.51,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,64.51,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,64.51,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,69.19,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,69.19,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,74.08,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,1,48,79.21,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 10, 2, 9, 15, 3, 11, 0, 5, 12, 1, 4, 7, 6, 8]"
Esc16g,2,26,79.24,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,79.25,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,79.25,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.31,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.31,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.32,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.32,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.32,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.32,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.32,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.33,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.33,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.33,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,84.33,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,89.11,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,89.11,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,89.11,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,94.03,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,99.15,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
Esc16g,2,26,99.15,107.56,5,30,0.4,0.4,5,16,42,"[14, 13, 9, 5, 15, 7, 3, 1, 6, 12, 4, 11, 10, 0, 2, 8]"
