instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Had12,1,1738,0.01,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,3.07,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,3.07,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,3.07,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.04,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.04,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.04,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.05,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.05,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.05,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.05,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,8.8,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,8.8,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,11.57,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,14.2,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.86,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,16.86,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,19.61,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,19.61,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,22.3,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,24.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,24.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,24.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,24.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,24.85,121.36,5,30,0.4,0.4,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,2,1652,24.87,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,27.48,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,30.09,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,32.69,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,32.69,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,32.69,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,35.25,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,37.85,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,40.45,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,40.45,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,40.45,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,40.45,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,40.45,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,43.35,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,43.35,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,45.92,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,45.92,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,45.92,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
Had12,2,1652,49.02,121.36,5,30,0.4,0.4,5,12,42,"[2, 9, 10, 1, 11, 4, 5, 6, 7, 0, 3, 8]"
