instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Had14,1,2920,0.02,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,0.44,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,0.81,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,0.81,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,0.82,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,1.22,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,1.64,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,1.64,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,1.65,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,2.17,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,2.17,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
Had14,1,2920,2.65,108.59,5,30,0.4,0.4,5,14,42,"[0, 3, 6, 13, 4, 7, 10, 11, 8, 5, 2, 9, 12, 1]"
