instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Lipa60a,1,109823,0.14,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,0.14,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,0.14,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,0.14,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,150.48,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,150.48,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,150.48,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,347.14,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,493.84,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Lipa60a,1,109823,493.84,108.59,5,30,0.4,0.4,5,60,42,"[3, 37, 53, 47, 13, 12, 38, 33, 23, 8, 50, 9, 40, 41, 5, 58, 28, 55, 43, 18, 56, 10, 19, 46, 49, 31, 11, 17, 44, 7, 48, 59, 51, 15, 14, 57, 54, 20, 45, 34, 30, 52, 0, 6, 1, 42, 26, 2, 39, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
