instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Nug12,1,672,0.01,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.15,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.46,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.47,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.47,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.62,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.8,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.8,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.97,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,0.98,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.15,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.3,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.3,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.3,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.31,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.56,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.56,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.56,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.56,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.56,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.77,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.77,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
Nug12,1,672,1.91,108.6,5,30,0.4,0.4,5,12,42,"[0, 3, 6, 11, 4, 7, 10, 8, 5, 2, 9, 1]"
