instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Nug22,1,4672,0.04,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,0.05,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,8.15,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,16.69,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,16.69,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,24.5,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,32.41,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,40.32,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,48.18,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,55.8,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,63.58,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,71.41,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,79.88,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.46,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.46,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.46,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.46,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.46,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.47,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.47,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.47,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.47,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,87.47,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,95.09,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,95.09,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,103.06,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,103.06,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,103.06,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,103.06,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,103.07,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,1,4672,110.77,108.32,5,30,0.4,0.4,5,22,42,"[19, 1, 12, 6, 0, 9, 21, 2, 20, 8, 17, 5, 10, 11, 4, 15, 13, 7, 18, 3, 16, 14]"
Nug22,2,3610,110.83,108.32,5,30,0.4,0.4,5,22,42,"[19, 3, 15, 7, 2, 10, 6, 8, 20, 12, 1, 13, 14, 16, 18, 17, 21, 0, 9, 11, 5, 4]"
Nug22,2,3610,118.48,108.32,5,30,0.4,0.4,5,22,42,"[19, 3, 15, 7, 2, 10, 6, 8, 20, 12, 1, 13, 14, 16, 18, 17, 21, 0, 9, 11, 5, 4]"
Nug22,2,3610,118.48,108.32,5,30,0.4,0.4,5,22,42,"[19, 3, 15, 7, 2, 10, 6, 8, 20, 12, 1, 13, 14, 16, 18, 17, 21, 0, 9, 11, 5, 4]"
Nug22,2,3610,126.3,108.32,5,30,0.4,0.4,5,22,42,"[19, 3, 15, 7, 2, 10, 6, 8, 20, 12, 1, 13, 14, 16, 18, 17, 21, 0, 9, 11, 5, 4]"
Nug22,2,3610,134.18,108.32,5,30,0.4,0.4,5,22,42,"[19, 3, 15, 7, 2, 10, 6, 8, 20, 12, 1, 13, 14, 16, 18, 17, 21, 0, 9, 11, 5, 4]"
Nug22,2,3610,134.18,108.32,5,30,0.4,0.4,5,22,42,"[19, 3, 15, 7, 2, 10, 6, 8, 20, 12, 1, 13, 14, 16, 18, 17, 21, 0, 9, 11, 5, 4]"
