instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Rou12,1,280472,0.02,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,0.37,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,0.7,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.01,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.01,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.01,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.33,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.54,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.55,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.78,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,1.78,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.07,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.37,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.38,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.39,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.39,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.39,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.65,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.65,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.65,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.65,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.65,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.91,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,2.91,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,3.17,108.45,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,2,235528,3.18,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.18,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.19,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.35,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.36,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.36,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.36,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.36,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.36,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.36,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.37,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.37,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.37,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.51,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.67,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.67,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.67,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.67,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.67,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.81,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
Rou12,2,235528,3.98,108.45,5,30,0.4,0.4,5,12,42,"[5, 4, 10, 8, 1, 7, 2, 0, 11, 6, 3, 9]"
