instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Scr15,1,79488,0.02,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,5.16,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,10.09,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,10.09,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,15.08,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,15.08,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,15.08,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,20.05,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,20.05,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,20.06,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,20.06,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,20.06,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,25.07,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,25.07,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,30.27,107.94,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
