instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Scr15,1,79488,0.02,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,0.95,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,1.71,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,1.71,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,2.41,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.12,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.12,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.12,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.12,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.13,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.95,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.95,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.95,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.95,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.95,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.96,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,3.96,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,4.92,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,4.93,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,5.75,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,5.76,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,5.76,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,6.78,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,7.45,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,7.45,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,7.45,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,8.06,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,8.71,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,9.34,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,9.34,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,1,79488,10.0,108.45,5,30,0.4,0.4,5,15,42,"[0, 1, 10, 5, 7, 11, 6, 4, 9, 14, 2, 12, 8, 13, 3]"
Scr15,2,51140,10.03,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.03,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.03,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.03,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.82,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.82,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.82,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
Scr15,2,51140,10.82,108.45,5,30,0.4,0.4,5,15,42,"[11, 9, 10, 13, 0, 12, 8, 4, 14, 5, 3, 1, 7, 6, 2]"
