instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Sko42,1,19484,0.15,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.15,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.16,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.16,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.16,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.16,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.17,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,0.17,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,163.16,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,163.16,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,304.41,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,304.41,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,304.42,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,304.42,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,304.42,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
Sko42,1,19484,414.95,108.45,5,30,0.4,0.4,5,42,42,"[19, 41, 18, 6, 35, 22, 32, 16, 24, 25, 34, 20, 11, 8, 10, 33, 0, 12, 40, 28, 15, 23, 30, 3, 37, 14, 38, 1, 9, 5, 21, 2, 13, 36, 31, 27, 17, 39, 29, 26, 7, 4]"
