instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Sko90,1,133936,0.18,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,0.18,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,0.18,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,0.19,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,0.19,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,42.27,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,42.27,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,42.27,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,82.48,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
Sko90,1,133936,127.7,107.94,5,30,0.4,0.4,5,90,42,"[57, 32, 47, 59, 26, 33, 4, 13, 44, 10, 53, 56, 71, 67, 87, 70, 35, 60, 55, 80, 7, 0, 5, 46, 77, 31, 19, 11, 39, 73, 25, 88, 62, 64, 68, 34, 29, 49, 23, 21, 42, 27, 54, 81, 15, 16, 63, 78, 76, 50, 30, 58, 24, 85, 2, 18, 89, 40, 61, 74, 17, 6, 82, 8, 79, 75, 36, 43, 9, 45, 41, 51, 84, 38, 65, 20, 12, 1, 72, 86, 83, 3, 37, 28, 48, 22, 14, 69, 66, 52]"
