instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Tai64c,1,2134248,0.26,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,0.26,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,0.26,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,62.84,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,62.85,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,62.85,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,62.85,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,146.46,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,146.47,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,222.49,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,315.69,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,315.69,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,410.26,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,410.26,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
Tai64c,1,2134248,410.26,154.44,5,30,0.4,0.4,5,64,42,"[7, 41, 46, 29, 53, 9, 36, 25, 62, 11, 60, 13, 57, 31, 38, 34, 49, 20, 52, 48, 0, 32, 54, 45, 35, 26, 37, 43, 6, 22, 44, 23, 33, 27, 50, 10, 2, 1, 17, 15, 21, 8, 14, 3, 39, 19, 40, 51, 61, 12, 63, 4, 55, 47, 24, 5, 42, 30, 16, 58, 59, 18, 28, 56]"
