instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Chr15c,42,0.05,"[11, 9, 2, 8, 12, 1, 6, 0, 3, 14, 13, 4, 7, 5, 10]",42004,0.03,109.06,10,1.0,2.0,1
Chr15c,43,0.05,"[2, 8, 12, 1, 6, 0, 3, 14, 11, 9, 13, 4, 7, 5, 10]",50044,0.03,109.06,10,1.0,2.0,1
Chr15c,44,0.05,"[1, 6, 4, 7, 14, 3, 0, 13, 8, 2, 12, 11, 9, 5, 10]",49732,0.02,109.06,10,1.0,2.0,1
Chr15c,45,0.05,"[2, 12, 4, 7, 13, 8, 10, 9, 11, 14, 3, 0, 6, 1, 5]",49838,0.05,109.06,10,1.0,2.0,1
Chr15c,46,0.05,"[12, 4, 7, 13, 8, 2, 9, 11, 14, 3, 0, 6, 1, 10, 5]",48134,0.07,109.06,10,1.0,2.0,1
Chr15c,47,0.05,"[2, 8, 12, 4, 7, 13, 1, 6, 0, 3, 14, 11, 9, 5, 10]",46516,0.02,109.06,10,1.0,2.0,1
Chr15c,48,0.05,"[13, 4, 7, 14, 3, 0, 6, 1, 12, 8, 2, 9, 11, 5, 10]",55864,0.02,109.06,10,1.0,2.0,1
Chr15c,49,0.05,"[1, 6, 12, 4, 7, 13, 8, 2, 9, 11, 5, 0, 3, 14, 10]",43092,0.03,109.06,10,1.0,2.0,1
Chr15c,50,0.05,"[7, 4, 12, 8, 2, 11, 9, 10, 3, 14, 13, 0, 6, 1, 5]",47678,0.02,109.06,10,1.0,2.0,1
Chr15c,51,0.05,"[12, 1, 8, 2, 3, 14, 0, 6, 11, 9, 4, 7, 13, 10, 5]",47098,0.02,109.06,10,1.0,2.0,1
