instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Chr22a,42,0.05,"[20, 1, 14, 7, 4, 5, 16, 3, 12, 0, 2, 9, 18, 10, 15, 19, 11, 8, 6, 17, 21, 13]",12774,0.04,109.06,10,1.0,2.0,1
Chr22a,43,0.05,"[1, 3, 15, 20, 10, 13, 4, 16, 6, 8, 17, 11, 19, 18, 14, 7, 0, 2, 5, 9, 12, 21]",12950,0.03,109.06,10,1.0,2.0,1
Chr22a,44,0.05,"[15, 6, 16, 2, 1, 20, 12, 11, 3, 0, 5, 9, 4, 10, 21, 8, 7, 18, 14, 13, 19, 17]",12746,0.03,109.06,10,1.0,2.0,1
Chr22a,45,0.05,"[14, 21, 1, 20, 9, 5, 15, 12, 11, 17, 8, 18, 10, 6, 0, 19, 2, 3, 4, 16, 7, 13]",11950,0.03,109.06,10,1.0,2.0,1
Chr22a,46,0.05,"[1, 0, 11, 4, 13, 18, 17, 9, 2, 7, 12, 5, 8, 21, 10, 3, 15, 19, 20, 14, 6, 16]",12484,0.1,109.06,10,1.0,2.0,1
Chr22a,47,0.05,"[11, 12, 2, 6, 16, 1, 3, 13, 19, 18, 4, 17, 8, 21, 0, 9, 5, 7, 14, 15, 20, 10]",14766,0.04,109.06,10,1.0,2.0,1
Chr22a,48,0.05,"[11, 18, 9, 20, 10, 17, 6, 16, 14, 1, 0, 21, 4, 15, 12, 7, 8, 5, 3, 13, 2, 19]",12636,0.02,109.06,10,1.0,2.0,1
Chr22a,49,0.05,"[19, 20, 21, 15, 2, 6, 10, 0, 1, 8, 7, 14, 18, 4, 11, 17, 9, 12, 3, 16, 5, 13]",12976,0.02,109.06,10,1.0,2.0,1
Chr22a,50,0.05,"[3, 5, 0, 1, 6, 2, 9, 18, 10, 8, 15, 4, 13, 19, 7, 21, 17, 12, 16, 11, 20, 14]",10904,0.02,109.06,10,1.0,2.0,1
Chr22a,51,0.05,"[17, 18, 14, 1, 5, 0, 11, 9, 12, 19, 3, 16, 7, 8, 21, 2, 10, 6, 15, 20, 13, 4]",11984,0.02,109.06,10,1.0,2.0,1
