instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Els19,42,0.05,"[14, 9, 18, 15, 0, 10, 13, 7, 5, 12, 1, 11, 6, 17, 16, 3, 8, 4, 2]",40645940,0.01,109.06,10,1.0,2.0,1
Els19,43,0.05,"[15, 17, 12, 7, 8, 13, 6, 16, 9, 14, 11, 5, 4, 18, 3, 10, 1, 0, 2]",32416936,0.01,109.06,10,1.0,2.0,1
Els19,44,0.05,"[17, 14, 0, 10, 9, 12, 16, 8, 7, 4, 5, 3, 18, 6, 13, 11, 1, 15, 2]",45785188,0.01,109.06,10,1.0,2.0,1
Els19,45,0.05,"[8, 12, 6, 7, 3, 14, 1, 18, 17, 15, 10, 13, 2, 0, 5, 4, 11, 16, 9]",47008000,0.01,109.06,10,1.0,2.0,1
Els19,46,0.05,"[4, 6, 11, 3, 13, 8, 16, 9, 2, 10, 12, 7, 18, 14, 17, 5, 15, 0, 1]",36100862,0.01,109.06,10,1.0,2.0,1
Els19,47,0.05,"[12, 3, 16, 17, 13, 10, 9, 15, 7, 6, 14, 18, 8, 5, 11, 4, 0, 2, 1]",37993202,0.01,109.06,10,1.0,2.0,1
Els19,48,0.05,"[18, 6, 5, 7, 17, 9, 16, 3, 13, 15, 10, 1, 14, 8, 12, 11, 4, 0, 2]",34564246,0.01,109.06,10,1.0,2.0,1
Els19,49,0.05,"[5, 8, 17, 12, 14, 3, 7, 13, 9, 10, 18, 16, 15, 11, 6, 4, 0, 2, 1]",30286628,0.01,109.06,10,1.0,2.0,1
Els19,50,0.05,"[6, 13, 3, 15, 17, 18, 2, 10, 12, 9, 14, 7, 8, 16, 5, 11, 1, 4, 0]",43817476,0.01,109.06,10,1.0,2.0,1
Els19,51,0.05,"[18, 2, 10, 17, 16, 12, 15, 13, 14, 4, 6, 11, 7, 8, 5, 3, 0, 9, 1]",40695058,0.01,109.06,10,1.0,2.0,1
