instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Esc16e,42,"[13, 14, 12, 15, 1, 3, 5, 7, 11, 8, 10, 4, 9, 0, 6, 2]",28,59.68,111.34
Esc16e,43,"[4, 1, 12, 5, 14, 15, 13, 7, 6, 3, 9, 10, 11, 8, 0, 2]",28,50.99,111.34
Esc16e,44,"[1, 8, 3, 0, 12, 13, 4, 5, 9, 11, 10, 14, 6, 15, 7, 2]",28,48.93,111.34
Esc16e,45,"[14, 4, 15, 12, 11, 9, 13, 8, 10, 5, 3, 7, 6, 0, 1, 2]",28,48.78,111.34
Esc16e,46,"[7, 2, 3, 6, 13, 4, 14, 12, 5, 15, 9, 11, 0, 1, 8, 10]",28,55.88,111.34
Esc16e,47,"[5, 15, 7, 13, 0, 8, 1, 9, 12, 4, 6, 2, 3, 14, 11, 10]",28,48.07,111.34
Esc16e,48,"[5, 9, 4, 13, 11, 3, 1, 7, 15, 2, 12, 6, 14, 8, 0, 10]",28,68.0,111.34
Esc16e,49,"[6, 12, 4, 14, 3, 11, 2, 10, 15, 9, 0, 7, 8, 13, 1, 5]",28,41.86,111.34
Esc16e,50,"[9, 15, 11, 13, 4, 0, 5, 1, 8, 10, 14, 7, 3, 6, 12, 2]",28,41.59,111.34
Esc16e,51,"[15, 12, 14, 13, 1, 7, 5, 3, 11, 2, 6, 0, 4, 9, 8, 10]",28,50.58,111.34
