instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Esc16h,42,0.05,"[7, 6, 14, 15, 11, 3, 1, 0, 2, 10, 8, 9, 13, 5, 4, 12]",1080,0.01,109.06,10,1.0,2.0,1
Esc16h,43,0.05,"[1, 3, 11, 15, 13, 12, 4, 5, 7, 6, 14, 10, 8, 9, 2, 0]",1016,0.01,109.06,10,1.0,2.0,1
Esc16h,44,0.05,"[15, 7, 5, 4, 0, 8, 10, 2, 3, 1, 9, 13, 12, 14, 6, 11]",1064,0.01,109.06,10,1.0,2.0,1
Esc16h,45,0.05,"[14, 12, 8, 0, 4, 5, 1, 3, 7, 6, 2, 10, 11, 15, 13, 9]",1012,0.01,109.06,10,1.0,2.0,1
Esc16h,46,0.05,"[7, 5, 1, 3, 11, 9, 8, 12, 14, 15, 13, 4, 0, 2, 6, 10]",1076,0.01,109.06,10,1.0,2.0,1
Esc16h,47,0.05,"[4, 5, 13, 12, 14, 6, 2, 10, 11, 15, 7, 3, 1, 0, 8, 9]",1056,0.01,109.06,10,1.0,2.0,1
Esc16h,48,0.05,"[7, 15, 14, 6, 2, 0, 8, 10, 11, 3, 1, 9, 13, 5, 4, 12]",1056,0.01,109.06,10,1.0,2.0,1
Esc16h,49,0.05,"[2, 3, 1, 9, 13, 5, 4, 12, 14, 15, 7, 6, 0, 8, 10, 11]",1066,0.01,109.06,10,1.0,2.0,1
Esc16h,50,0.05,"[3, 11, 9, 13, 12, 8, 0, 4, 6, 14, 10, 2, 7, 15, 5, 1]",1072,0.01,109.06,10,1.0,2.0,1
Esc16h,51,0.05,"[12, 8, 10, 11, 3, 2, 6, 14, 15, 7, 5, 1, 9, 13, 0, 4]",1116,0.01,109.06,10,1.0,2.0,1
