instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Esc32g,42,0.05,"[3, 2, 0, 4, 6, 7, 23, 31, 27, 25, 17, 21, 20, 16, 18, 22, 30, 26, 24, 8, 9, 13, 15, 11, 10, 14, 12, 28, 29, 1, 5, 19]",14,0.03,109.06,10,1.0,2.0,1
Esc32g,43,0.05,"[21, 20, 22, 6, 4, 12, 13, 5, 7, 3, 1, 9, 25, 17, 16, 18, 2, 10, 11, 27, 26, 30, 14, 15, 31, 23, 19, 0, 8, 24, 28, 29]",14,0.02,109.06,10,1.0,2.0,1
Esc32g,44,0.05,"[28, 24, 16, 17, 25, 9, 1, 5, 7, 15, 11, 3, 2, 6, 4, 0, 8, 10, 14, 30, 22, 18, 26, 27, 19, 23, 31, 29, 13, 12, 20, 21]",14,0.03,109.06,10,1.0,2.0,1
Esc32g,45,0.05,"[16, 18, 2, 10, 26, 27, 25, 9, 8, 12, 13, 15, 31, 23, 19, 3, 7, 6, 14, 30, 28, 24, 17, 1, 0, 4, 20, 21, 29, 5, 22, 11]",14,0.03,109.06,10,1.0,2.0,1
Esc32g,46,0.05,"[4, 5, 13, 29, 21, 20, 22, 30, 14, 6, 2, 18, 26, 10, 11, 15, 31, 27, 19, 23, 7, 3, 1, 0, 16, 24, 8, 9, 25, 17, 12, 28]",14,0.03,109.06,10,1.0,2.0,1
Esc32g,47,0.05,"[6, 4, 5, 13, 12, 14, 30, 31, 29, 21, 23, 22, 20, 28, 24, 26, 10, 8, 0, 2, 3, 7, 15, 11, 27, 25, 17, 16, 18, 19, 9, 1]",14,0.02,109.06,10,1.0,2.0,1
Esc32g,48,0.05,"[20, 4, 6, 7, 23, 19, 27, 11, 15, 31, 29, 25, 9, 8, 24, 16, 0, 1, 3, 2, 10, 14, 30, 22, 18, 26, 28, 12, 13, 5, 21, 17]",18,0.02,109.06,10,1.0,2.0,1
Esc32g,49,0.05,"[2, 0, 4, 20, 16, 24, 26, 27, 31, 23, 19, 18, 22, 6, 7, 15, 13, 9, 25, 17, 21, 5, 1, 3, 11, 10, 14, 12, 8, 29, 28, 30]",14,0.02,109.06,10,1.0,2.0,1
Esc32g,50,0.05,"[14, 6, 7, 23, 21, 29, 25, 24, 8, 12, 13, 15, 11, 9, 1, 17, 16, 0, 2, 3, 19, 18, 26, 27, 31, 30, 28, 20, 22, 4, 5, 10]",18,0.02,109.06,10,1.0,2.0,1
Esc32g,51,0.05,"[15, 31, 29, 13, 12, 28, 20, 22, 23, 19, 18, 16, 17, 21, 5, 1, 9, 8, 0, 4, 6, 14, 30, 26, 10, 2, 3, 11, 27, 25, 24, 7]",18,0.03,109.06,10,1.0,2.0,1
