instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Had18,42,0.05,"[5, 12, 4, 2, 8, 17, 10, 15, 13, 0, 9, 11, 7, 1, 14, 3, 6, 16]",6060,0.07,121.48,10,1.0,2.0,1
Had18,43,0.05,"[3, 6, 4, 13, 15, 11, 8, 7, 5, 12, 0, 1, 17, 16, 9, 14, 10, 2]",5918,0.1,121.48,10,1.0,2.0,1
Had18,44,0.05,"[2, 17, 12, 6, 4, 15, 1, 8, 7, 5, 16, 11, 9, 0, 3, 10, 14, 13]",5924,0.04,121.48,10,1.0,2.0,1
Had18,45,0.05,"[4, 14, 6, 12, 5, 15, 1, 8, 7, 11, 17, 3, 0, 9, 13, 16, 2, 10]",6000,0.03,121.48,10,1.0,2.0,1
Had18,46,0.05,"[12, 0, 9, 8, 7, 11, 1, 15, 4, 6, 2, 10, 14, 16, 5, 3, 17, 13]",5966,0.08,121.48,10,1.0,2.0,1
Had18,47,0.05,"[17, 8, 11, 7, 10, 14, 13, 15, 12, 6, 9, 0, 16, 5, 3, 1, 2, 4]",5912,0.06,121.48,10,1.0,2.0,1
Had18,48,0.05,"[13, 1, 8, 4, 5, 12, 0, 9, 6, 15, 7, 11, 17, 10, 14, 2, 3, 16]",5894,0.08,121.48,10,1.0,2.0,1
Had18,49,0.05,"[7, 4, 8, 10, 0, 9, 6, 3, 17, 5, 12, 15, 16, 2, 14, 1, 13, 11]",5956,0.08,121.48,10,1.0,2.0,1
Had18,50,0.05,"[15, 13, 7, 11, 9, 3, 4, 10, 12, 5, 17, 6, 0, 1, 8, 2, 16, 14]",5884,0.07,121.48,10,1.0,2.0,1
Had18,51,0.05,"[3, 2, 17, 10, 0, 9, 8, 7, 16, 4, 15, 6, 12, 5, 11, 1, 14, 13]",6062,0.08,121.48,10,1.0,2.0,1
