instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Lipa80a,42,0.05,"[30, 65, 74, 61, 67, 2, 52, 22, 68, 54, 46, 60, 11, 62, 1, 71, 56, 8, 59, 32, 16, 73, 23, 0, 9, 27, 76, 75, 29, 47, 31, 78, 63, 66, 12, 58, 20, 55, 6, 21, 33, 57, 40, 39, 36, 38, 42, 5, 49, 3, 69, 13, 53, 44, 72, 37, 4, 41, 24, 17, 64, 70, 26, 25, 28, 48, 43, 14, 34, 77, 15, 51, 79, 18, 19, 7, 35, 45, 50, 10]",258047,0.17,109.16,10,1.0,2.0,1
Lipa80a,43,0.05,"[43, 12, 49, 29, 56, 59, 28, 79, 13, 8, 60, 42, 51, 15, 77, 34, 46, 54, 68, 22, 19, 47, 61, 16, 73, 0, 9, 27, 26, 38, 74, 65, 45, 4, 62, 1, 6, 69, 55, 70, 35, 20, 18, 25, 24, 17, 52, 10, 11, 3, 53, 44, 72, 23, 2, 5, 76, 63, 78, 32, 33, 37, 30, 31, 67, 58, 50, 41, 14, 21, 7, 39, 75, 48, 71, 57, 40, 66, 36, 64]",258039,0.18,109.16,10,1.0,2.0,1
Lipa80a,44,0.05,"[45, 5, 76, 3, 51, 64, 23, 54, 46, 36, 40, 57, 68, 22, 12, 37, 66, 33, 15, 77, 34, 16, 65, 74, 56, 6, 55, 70, 42, 78, 32, 0, 9, 27, 61, 11, 10, 63, 25, 26, 72, 44, 49, 47, 38, 28, 48, 79, 30, 7, 39, 13, 53, 21, 14, 69, 67, 29, 41, 50, 17, 24, 60, 8, 18, 4, 2, 31, 58, 71, 52, 43, 20, 19, 35, 1, 62, 73, 75, 59]",258129,0.15,109.16,10,1.0,2.0,1
Lipa80a,45,0.05,"[25, 44, 35, 16, 74, 75, 45, 58, 36, 23, 64, 79, 28, 4, 10, 31, 29, 52, 13, 70, 50, 32, 59, 47, 78, 2, 17, 24, 60, 1, 62, 12, 57, 40, 73, 5, 76, 37, 30, 19, 65, 22, 21, 53, 67, 42, 26, 7, 33, 72, 41, 6, 69, 56, 71, 48, 14, 0, 9, 49, 63, 38, 77, 34, 11, 3, 68, 54, 46, 8, 18, 43, 20, 55, 15, 66, 51, 39, 27, 61]",258016,0.14,109.16,10,1.0,2.0,1
Lipa80a,46,0.05,"[16, 56, 7, 40, 57, 13, 52, 77, 34, 37, 1, 62, 48, 79, 28, 73, 58, 61, 27, 9, 0, 23, 50, 6, 55, 17, 65, 74, 32, 69, 3, 59, 54, 46, 41, 21, 22, 68, 19, 12, 49, 4, 75, 11, 10, 76, 5, 42, 38, 24, 60, 8, 18, 14, 31, 66, 78, 44, 25, 20, 35, 33, 51, 15, 26, 70, 36, 64, 47, 29, 72, 71, 39, 67, 43, 53, 45, 30, 63, 2]",257991,0.13,109.16,10,1.0,2.0,1
Lipa80a,47,0.05,"[71, 16, 37, 78, 63, 53, 34, 77, 27, 26, 32, 45, 41, 44, 49, 20, 35, 62, 1, 76, 5, 73, 69, 6, 55, 13, 50, 65, 19, 74, 61, 72, 51, 24, 60, 8, 52, 12, 67, 7, 3, 23, 79, 48, 43, 10, 54, 68, 22, 21, 66, 2, 4, 28, 18, 59, 17, 75, 57, 40, 58, 31, 47, 38, 29, 9, 0, 70, 11, 39, 36, 46, 25, 14, 15, 33, 42, 56, 30, 64]",258304,0.13,109.16,10,1.0,2.0,1
Lipa80a,48,0.05,"[33, 32, 16, 71, 56, 74, 57, 75, 23, 50, 65, 61, 69, 3, 79, 28, 4, 76, 5, 31, 44, 25, 20, 51, 72, 66, 52, 22, 12, 9, 0, 41, 49, 8, 78, 48, 21, 68, 54, 46, 17, 24, 60, 58, 6, 55, 45, 36, 77, 14, 2, 59, 47, 42, 62, 40, 30, 37, 29, 38, 15, 26, 18, 64, 10, 39, 13, 53, 34, 73, 27, 1, 35, 67, 7, 19, 63, 43, 70, 11]",258123,0.18,109.16,10,1.0,2.0,1
Lipa80a,49,0.05,"[30, 69, 56, 17, 24, 8, 60, 46, 54, 13, 33, 21, 22, 68, 19, 47, 38, 44, 49, 7, 41, 45, 75, 57, 40, 78, 63, 50, 65, 3, 76, 5, 32, 55, 6, 15, 43, 51, 79, 61, 12, 0, 9, 18, 66, 26, 25, 20, 10, 42, 62, 1, 35, 16, 71, 48, 28, 4, 2, 23, 14, 67, 31, 58, 53, 29, 52, 77, 11, 59, 64, 74, 72, 37, 34, 73, 39, 36, 27, 70]",258285,0.35,109.16,10,1.0,2.0,1
Lipa80a,50,0.05,"[1, 36, 40, 57, 75, 66, 44, 72, 51, 73, 39, 61, 11, 3, 31, 10, 59, 54, 46, 26, 25, 20, 35, 64, 17, 28, 38, 23, 0, 9, 27, 76, 5, 41, 60, 24, 74, 16, 58, 53, 62, 49, 21, 50, 33, 79, 48, 15, 37, 30, 19, 47, 12, 18, 34, 77, 43, 71, 56, 6, 69, 13, 52, 32, 78, 63, 14, 42, 65, 2, 4, 29, 55, 45, 7, 67, 70, 68, 22, 8]",258263,0.25,109.16,10,1.0,2.0,1
Lipa80a,51,0.05,"[5, 32, 69, 9, 27, 21, 44, 45, 25, 26, 15, 51, 73, 58, 40, 57, 2, 23, 75, 66, 1, 37, 46, 54, 68, 22, 52, 7, 67, 8, 18, 79, 48, 28, 11, 24, 17, 0, 10, 14, 34, 77, 29, 41, 49, 20, 35, 16, 71, 70, 55, 62, 4, 50, 13, 53, 39, 78, 63, 56, 59, 12, 6, 42, 38, 47, 19, 43, 36, 61, 74, 65, 30, 31, 33, 72, 60, 3, 76, 64]",258068,0.29,109.16,10,1.0,2.0,1
