instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Nug27,42,0.05,"[2, 11, 1, 0, 3, 6, 12, 13, 14, 16, 24, 25, 23, 15, 8, 7, 4, 10, 9, 18, 20, 19, 21, 22, 5, 26, 17]",6506,0.07,109.97,10,1.0,2.0,1
Nug27,43,0.05,"[19, 1, 24, 23, 14, 20, 21, 12, 10, 9, 3, 11, 2, 7, 17, 25, 16, 8, 22, 13, 4, 5, 6, 15, 26, 0, 18]",6658,0.07,109.97,10,1.0,2.0,1
Nug27,44,0.05,"[13, 7, 16, 17, 8, 26, 25, 15, 24, 12, 2, 4, 21, 20, 18, 9, 0, 1, 10, 19, 23, 5, 6, 22, 14, 3, 11]",6630,0.08,109.97,10,1.0,2.0,1
Nug27,45,0.05,"[22, 21, 10, 1, 0, 9, 16, 7, 6, 24, 23, 14, 13, 4, 2, 11, 19, 18, 12, 3, 5, 15, 26, 17, 8, 25, 20]",6738,0.07,109.97,10,1.0,2.0,1
Nug27,46,0.05,"[17, 8, 7, 25, 16, 24, 23, 14, 12, 11, 22, 13, 2, 1, 0, 20, 19, 21, 15, 6, 4, 3, 9, 10, 18, 26, 5]",6632,0.08,109.97,10,1.0,2.0,1
Nug27,47,0.05,"[24, 15, 25, 16, 7, 5, 14, 13, 4, 8, 26, 17, 0, 1, 10, 19, 9, 18, 20, 12, 21, 22, 23, 6, 11, 2, 3]",6880,0.07,109.97,10,1.0,2.0,1
Nug27,48,0.05,"[7, 8, 25, 16, 6, 17, 15, 24, 23, 14, 13, 12, 4, 10, 19, 9, 18, 20, 11, 5, 26, 22, 3, 21, 2, 1, 0]",6756,0.07,109.97,10,1.0,2.0,1
Nug27,49,0.05,"[11, 15, 5, 17, 26, 23, 24, 14, 13, 4, 3, 1, 10, 12, 21, 9, 18, 0, 22, 8, 7, 16, 2, 19, 20, 6, 25]",6800,0.06,109.97,10,1.0,2.0,1
Nug27,50,0.05,"[12, 11, 10, 7, 16, 3, 4, 13, 0, 1, 2, 20, 21, 22, 18, 9, 24, 14, 5, 6, 8, 17, 25, 26, 23, 15, 19]",6750,0.06,109.97,10,1.0,2.0,1
Nug27,51,0.05,"[26, 17, 7, 5, 24, 14, 23, 12, 3, 2, 13, 4, 11, 20, 19, 0, 1, 15, 6, 8, 16, 25, 21, 10, 9, 18, 22]",6608,0.05,109.97,10,1.0,2.0,1
