instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Rou12,42,0.05,"[8, 5, 0, 7, 3, 10, 11, 1, 2, 9, 4, 6]",286596,0.02,108.0,10,1.0,2.0,1
Rou12,43,0.05,"[9, 8, 5, 0, 7, 3, 11, 2, 1, 4, 6, 10]",289392,0.02,108.0,10,1.0,2.0,1
Rou12,44,0.05,"[8, 5, 0, 7, 9, 2, 1, 11, 3, 10, 6, 4]",298742,0.02,108.0,10,1.0,2.0,1
Rou12,45,0.05,"[10, 6, 7, 0, 5, 8, 9, 3, 11, 1, 2, 4]",294658,0.02,108.0,10,1.0,2.0,1
Rou12,46,0.05,"[0, 7, 3, 11, 1, 2, 4, 6, 10, 9, 8, 5]",283384,0.02,108.0,10,1.0,2.0,1
Rou12,47,0.05,"[5, 8, 9, 2, 1, 11, 10, 6, 4, 3, 7, 0]",292564,0.02,108.0,10,1.0,2.0,1
Rou12,48,0.05,"[8, 5, 0, 7, 6, 10, 11, 1, 2, 9, 3, 4]",298878,0.02,108.0,10,1.0,2.0,1
Rou12,49,0.05,"[0, 5, 8, 9, 7, 3, 11, 1, 2, 4, 6, 10]",278596,0.02,108.0,10,1.0,2.0,1
Rou12,50,0.05,"[7, 3, 11, 10, 6, 5, 8, 9, 2, 1, 4, 0]",287896,0.02,108.0,10,1.0,2.0,1
Rou12,51,0.05,"[3, 11, 1, 2, 9, 8, 5, 0, 7, 6, 10, 4]",272524,0.02,108.01,10,1.0,2.0,1
