instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Scr12,42,0.05,"[9, 1, 0, 5, 6, 2, 4, 8, 3, 10, 11, 7]",43350,0.03,108.06,10,1.0,2.0,1
Scr12,43,0.05,"[1, 5, 0, 4, 8, 9, 10, 11, 7, 3, 2, 6]",44766,0.02,108.06,10,1.0,2.0,1
Scr12,44,0.05,"[6, 5, 9, 2, 1, 0, 4, 8, 7, 11, 10, 3]",45652,0.03,108.06,10,1.0,2.0,1
Scr12,45,0.05,"[9, 6, 2, 3, 7, 11, 10, 5, 0, 4, 8, 1]",51054,0.02,108.06,10,1.0,2.0,1
Scr12,46,0.05,"[0, 3, 2, 6, 5, 1, 4, 8, 10, 11, 9, 7]",51264,0.02,108.06,10,1.0,2.0,1
Scr12,47,0.05,"[9, 8, 6, 5, 10, 1, 0, 4, 7, 11, 3, 2]",48018,0.02,108.06,10,1.0,2.0,1
Scr12,48,0.05,"[7, 6, 2, 5, 1, 3, 11, 10, 9, 4, 0, 8]",44002,0.02,108.06,10,1.0,2.0,1
Scr12,49,0.05,"[1, 5, 4, 6, 7, 11, 10, 8, 9, 2, 3, 0]",45244,0.02,108.06,10,1.0,2.0,1
Scr12,50,0.05,"[6, 2, 0, 5, 1, 9, 10, 8, 4, 7, 11, 3]",48042,0.03,108.06,10,1.0,2.0,1
Scr12,51,0.05,"[3, 7, 6, 2, 11, 10, 5, 9, 8, 4, 0, 1]",48158,0.03,108.06,10,1.0,2.0,1
