instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Sko100b,42,0.05,"[59, 45, 71, 44, 83, 98, 77, 75, 27, 54, 56, 3, 84, 17, 26, 76, 13, 2, 97, 48, 70, 29, 85, 49, 74, 40, 28, 16, 78, 79, 91, 73, 81, 30, 68, 52, 33, 25, 94, 22, 6, 20, 47, 41, 37, 53, 46, 92, 72, 24, 90, 38, 8, 86, 42, 64, 89, 14, 61, 21, 18, 57, 55, 10, 36, 88, 1, 5, 51, 15, 34, 35, 9, 43, 12, 82, 50, 69, 99, 7, 87, 60, 58, 93, 39, 62, 65, 67, 11, 80, 32, 95, 31, 19, 63, 4, 23, 96, 0, 66]",178920,0.54,109.29,10,1.0,2.0,1
Sko100b,43,0.05,"[58, 39, 36, 7, 99, 86, 62, 46, 9, 45, 32, 85, 22, 19, 71, 98, 65, 26, 54, 90, 2, 13, 12, 47, 72, 33, 81, 0, 4, 48, 79, 50, 14, 77, 94, 60, 61, 93, 24, 29, 78, 21, 70, 5, 25, 69, 42, 28, 11, 3, 80, 41, 37, 83, 82, 52, 23, 57, 67, 75, 27, 20, 73, 91, 43, 68, 8, 51, 44, 84, 87, 89, 88, 40, 15, 92, 16, 10, 63, 76, 74, 34, 53, 64, 31, 95, 6, 1, 55, 38, 97, 17, 35, 66, 49, 59, 96, 56, 18, 30]",181240,0.52,109.29,10,1.0,2.0,1
Sko100b,44,0.05,"[75, 36, 87, 43, 54, 56, 4, 39, 29, 73, 69, 46, 20, 6, 1, 24, 38, 52, 89, 19, 22, 0, 59, 45, 58, 97, 61, 55, 14, 71, 27, 98, 25, 34, 85, 40, 68, 80, 76, 32, 11, 26, 96, 90, 95, 64, 62, 81, 60, 99, 93, 78, 65, 12, 91, 28, 70, 88, 7, 31, 2, 23, 94, 79, 3, 21, 49, 57, 18, 37, 9, 77, 47, 72, 50, 48, 84, 5, 92, 16, 83, 35, 15, 44, 51, 10, 66, 53, 63, 13, 41, 30, 82, 17, 86, 67, 74, 33, 8, 42]",181374,0.58,109.29,10,1.0,2.0,1
Sko100b,45,0.05,"[46, 37, 19, 56, 57, 88, 20, 60, 5, 51, 77, 64, 4, 23, 42, 87, 86, 85, 24, 50, 31, 52, 68, 6, 98, 47, 76, 63, 34, 30, 33, 3, 22, 27, 67, 45, 15, 65, 90, 25, 72, 78, 93, 29, 41, 92, 12, 82, 9, 26, 44, 39, 99, 91, 97, 35, 54, 74, 95, 83, 70, 36, 94, 80, 1, 7, 58, 61, 13, 69, 17, 84, 28, 55, 59, 81, 71, 96, 0, 48, 40, 21, 8, 75, 16, 79, 14, 89, 38, 32, 43, 10, 2, 62, 18, 11, 53, 66, 49, 73]",181254,0.52,109.29,10,1.0,2.0,1
Sko100b,46,0.05,"[56, 29, 12, 21, 39, 28, 22, 68, 43, 72, 78, 33, 52, 38, 71, 40, 70, 20, 57, 51, 10, 2, 25, 50, 82, 18, 92, 90, 61, 76, 80, 99, 31, 74, 16, 97, 45, 9, 46, 75, 89, 86, 17, 35, 54, 84, 93, 94, 65, 98, 1, 13, 64, 95, 5, 73, 69, 42, 32, 55, 15, 62, 60, 37, 53, 14, 79, 63, 11, 67, 3, 44, 0, 7, 88, 83, 85, 24, 36, 47, 27, 81, 30, 49, 8, 19, 41, 48, 77, 96, 59, 58, 4, 23, 87, 34, 26, 6, 66, 91]",181016,0.59,109.29,10,1.0,2.0,1
Sko100b,47,0.05,"[79, 99, 69, 38, 82, 95, 5, 51, 8, 19, 29, 43, 86, 32, 21, 50, 2, 55, 54, 46, 97, 39, 92, 64, 56, 28, 70, 36, 93, 6, 20, 9, 26, 74, 58, 72, 0, 53, 3, 80, 44, 12, 30, 48, 68, 40, 27, 89, 34, 78, 4, 90, 63, 77, 31, 7, 87, 98, 47, 18, 37, 14, 11, 45, 75, 88, 96, 15, 35, 16, 57, 66, 71, 10, 83, 73, 81, 49, 59, 85, 22, 84, 23, 24, 33, 52, 1, 76, 13, 60, 61, 91, 94, 62, 65, 67, 17, 42, 41, 25]",180396,0.51,109.29,10,1.0,2.0,1
Sko100b,48,0.05,"[66, 74, 39, 54, 62, 86, 48, 5, 10, 43, 79, 27, 41, 19, 3, 60, 20, 55, 80, 94, 32, 57, 88, 81, 16, 87, 22, 13, 33, 52, 29, 93, 99, 7, 70, 4, 64, 24, 65, 53, 34, 69, 92, 96, 0, 6, 44, 50, 72, 98, 9, 2, 14, 21, 8, 23, 59, 45, 11, 91, 15, 51, 77, 75, 36, 47, 67, 26, 40, 71, 12, 42, 49, 85, 1, 37, 78, 83, 95, 46, 84, 28, 56, 63, 76, 31, 89, 61, 97, 35, 73, 25, 82, 90, 38, 68, 30, 18, 58, 17]",180888,0.61,109.29,10,1.0,2.0,1
Sko100b,49,0.05,"[58, 11, 15, 45, 22, 52, 59, 0, 82, 37, 18, 57, 88, 20, 17, 13, 12, 89, 87, 4, 40, 24, 92, 77, 96, 46, 16, 68, 43, 48, 61, 76, 63, 34, 84, 3, 67, 65, 26, 64, 47, 33, 6, 74, 83, 38, 90, 25, 75, 60, 62, 99, 91, 41, 10, 2, 97, 78, 21, 8, 31, 5, 1, 85, 72, 32, 80, 44, 79, 14, 56, 70, 23, 19, 66, 9, 28, 7, 35, 54, 55, 36, 39, 42, 86, 71, 81, 49, 73, 29, 30, 51, 95, 93, 94, 27, 50, 98, 69, 53]",179452,0.52,109.29,10,1.0,2.0,1
Sko100b,50,0.05,"[36, 50, 21, 47, 64, 77, 79, 44, 15, 40, 60, 22, 85, 9, 11, 67, 57, 19, 51, 95, 6, 68, 65, 91, 53, 8, 12, 29, 54, 76, 32, 89, 72, 0, 1, 7, 83, 16, 98, 61, 4, 52, 59, 55, 80, 27, 45, 42, 87, 86, 49, 97, 2, 75, 46, 43, 20, 37, 78, 71, 38, 17, 82, 25, 96, 90, 81, 18, 24, 63, 10, 41, 92, 73, 94, 62, 88, 35, 69, 34, 30, 48, 93, 39, 31, 56, 28, 23, 70, 5, 84, 99, 74, 33, 13, 58, 66, 3, 26, 14]",181732,0.49,109.29,10,1.0,2.0,1
Sko100b,51,0.05,"[24, 93, 29, 38, 68, 14, 89, 98, 1, 37, 78, 4, 58, 80, 94, 32, 95, 46, 76, 23, 8, 40, 99, 30, 92, 96, 59, 45, 88, 0, 57, 16, 81, 56, 64, 44, 84, 66, 3, 51, 19, 72, 86, 71, 48, 79, 20, 18, 82, 52, 21, 75, 63, 10, 83, 85, 35, 7, 6, 2, 77, 9, 28, 27, 41, 47, 12, 62, 5, 39, 36, 26, 17, 67, 11, 53, 65, 91, 55, 69, 87, 22, 13, 61, 42, 49, 73, 25, 34, 54, 90, 43, 31, 70, 97, 60, 15, 33, 74, 50]",180854,0.8,109.29,10,1.0,2.0,1
