instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Sko100e,42,0.05,"[48, 66, 50, 99, 26, 94, 65, 24, 63, 59, 60, 6, 52, 46, 85, 17, 82, 54, 27, 73, 71, 68, 72, 55, 57, 79, 88, 49, 20, 37, 47, 62, 14, 35, 45, 19, 11, 61, 89, 33, 93, 77, 7, 81, 42, 80, 70, 13, 9, 95, 8, 96, 76, 69, 98, 86, 78, 29, 56, 0, 30, 41, 87, 74, 67, 75, 90, 15, 22, 10, 91, 40, 64, 3, 4, 83, 84, 16, 23, 12, 92, 31, 34, 5, 58, 2, 32, 97, 36, 53, 28, 43, 1, 38, 39, 25, 44, 51, 18, 21]",173930,0.57,109.88,10,1.0,2.0,1
Sko100e,43,0.05,"[64, 85, 6, 60, 19, 98, 39, 70, 13, 65, 5, 80, 21, 23, 32, 42, 12, 25, 35, 49, 68, 15, 89, 33, 96, 38, 48, 36, 9, 95, 69, 76, 14, 55, 22, 30, 53, 67, 56, 62, 86, 50, 82, 81, 99, 40, 75, 74, 0, 77, 73, 87, 26, 83, 71, 58, 43, 44, 92, 31, 20, 37, 78, 18, 7, 54, 46, 29, 8, 27, 4, 45, 34, 52, 57, 90, 47, 2, 91, 10, 41, 94, 28, 88, 79, 17, 3, 16, 84, 66, 11, 61, 72, 24, 63, 93, 59, 97, 1, 51]",176668,0.52,109.88,10,1.0,2.0,1
Sko100e,44,0.05,"[28, 50, 74, 21, 1, 25, 41, 0, 17, 96, 48, 4, 83, 30, 23, 65, 69, 26, 80, 92, 39, 46, 2, 73, 43, 66, 71, 24, 72, 95, 8, 70, 53, 90, 9, 31, 18, 22, 88, 47, 37, 98, 3, 5, 77, 61, 82, 45, 89, 33, 35, 78, 60, 6, 12, 7, 75, 76, 13, 59, 79, 55, 52, 44, 91, 16, 93, 42, 40, 99, 94, 49, 14, 57, 84, 11, 27, 54, 15, 81, 51, 32, 63, 64, 19, 56, 29, 85, 34, 36, 58, 20, 87, 68, 67, 10, 97, 86, 62, 38]",176372,0.58,109.88,10,1.0,2.0,1
Sko100e,45,0.05,"[92, 58, 62, 23, 99, 78, 76, 38, 48, 98, 49, 13, 34, 75, 61, 54, 18, 85, 15, 94, 56, 59, 63, 27, 12, 67, 97, 46, 55, 51, 24, 72, 95, 8, 6, 32, 17, 11, 70, 5, 91, 43, 29, 50, 42, 93, 0, 21, 47, 33, 1, 69, 10, 84, 41, 96, 20, 65, 71, 25, 28, 88, 4, 45, 73, 83, 57, 52, 30, 53, 90, 37, 14, 77, 81, 31, 60, 19, 39, 16, 82, 64, 26, 87, 74, 22, 36, 86, 44, 68, 35, 66, 2, 9, 7, 40, 3, 80, 89, 79]",176722,0.57,109.88,10,1.0,2.0,1
Sko100e,46,0.05,"[9, 13, 47, 34, 75, 24, 63, 91, 11, 60, 28, 37, 77, 74, 0, 1, 43, 71, 66, 50, 97, 86, 64, 3, 42, 93, 53, 78, 12, 80, 61, 29, 95, 88, 14, 41, 76, 26, 94, 15, 90, 23, 99, 10, 69, 27, 70, 84, 7, 16, 4, 48, 82, 58, 19, 38, 98, 68, 49, 20, 30, 62, 31, 35, 72, 81, 52, 6, 33, 45, 73, 57, 17, 22, 55, 2, 40, 51, 67, 25, 44, 79, 56, 18, 85, 92, 59, 83, 87, 89, 8, 21, 36, 46, 54, 65, 96, 32, 5, 39]",176556,0.54,109.88,10,1.0,2.0,1
Sko100e,47,0.05,"[26, 31, 44, 61, 80, 25, 87, 54, 82, 3, 51, 0, 41, 46, 38, 83, 20, 8, 19, 33, 43, 50, 18, 75, 24, 64, 90, 60, 39, 98, 49, 72, 68, 86, 53, 21, 71, 92, 14, 95, 69, 27, 6, 47, 89, 42, 59, 57, 63, 22, 55, 13, 45, 4, 40, 5, 56, 94, 65, 97, 10, 84, 23, 32, 11, 35, 37, 77, 7, 36, 9, 99, 96, 28, 76, 16, 91, 2, 93, 29, 85, 34, 66, 15, 48, 70, 88, 58, 62, 67, 12, 17, 79, 30, 52, 81, 74, 78, 1, 73]",176264,0.52,109.88,10,1.0,2.0,1
Sko100e,48,0.05,"[66, 69, 20, 53, 76, 91, 40, 5, 4, 48, 75, 30, 56, 15, 9, 83, 22, 60, 89, 97, 21, 58, 88, 73, 1, 67, 19, 38, 39, 49, 29, 93, 99, 10, 77, 7, 59, 6, 47, 44, 28, 80, 94, 85, 2, 0, 24, 51, 79, 96, 17, 3, 23, 14, 25, 35, 36, 52, 8, 95, 50, 72, 68, 74, 34, 41, 78, 54, 65, 71, 13, 57, 81, 82, 16, 18, 64, 84, 70, 27, 87, 33, 45, 63, 43, 61, 12, 55, 98, 42, 32, 11, 46, 92, 26, 86, 62, 31, 37, 90]",177506,0.59,109.88,10,1.0,2.0,1
Sko100e,49,0.05,"[92, 43, 61, 27, 79, 56, 45, 63, 44, 31, 50, 12, 24, 14, 33, 39, 10, 82, 83, 9, 65, 84, 11, 53, 69, 96, 18, 6, 73, 71, 62, 67, 40, 5, 90, 64, 26, 86, 38, 98, 34, 25, 19, 58, 95, 91, 88, 94, 48, 49, 20, 87, 41, 46, 52, 8, 70, 93, 81, 15, 36, 21, 54, 28, 37, 47, 4, 80, 3, 51, 97, 89, 85, 60, 66, 22, 76, 75, 74, 68, 72, 42, 17, 13, 55, 1, 78, 35, 59, 57, 23, 16, 32, 2, 0, 77, 29, 99, 30, 7]",177166,0.52,109.88,10,1.0,2.0,1
Sko100e,50,0.05,"[10, 48, 75, 51, 5, 25, 29, 27, 73, 19, 11, 80, 94, 88, 32, 16, 26, 31, 92, 74, 68, 33, 1, 55, 57, 96, 28, 4, 3, 83, 20, 53, 65, 23, 82, 18, 64, 47, 7, 59, 42, 78, 2, 43, 99, 81, 66, 34, 36, 76, 95, 72, 30, 12, 17, 50, 0, 87, 60, 98, 38, 40, 61, 58, 45, 35, 56, 54, 79, 69, 84, 41, 77, 71, 15, 52, 63, 93, 14, 46, 44, 8, 85, 13, 70, 24, 49, 39, 91, 90, 22, 37, 97, 89, 21, 86, 62, 67, 9, 6]",175410,0.52,109.88,10,1.0,2.0,1
Sko100e,51,0.05,"[84, 24, 0, 66, 99, 81, 7, 9, 23, 60, 34, 52, 83, 26, 31, 91, 19, 72, 61, 56, 35, 33, 87, 68, 14, 46, 76, 15, 97, 77, 5, 40, 86, 59, 20, 2, 85, 48, 75, 73, 51, 32, 53, 11, 16, 22, 95, 88, 79, 30, 90, 41, 74, 25, 63, 27, 8, 96, 89, 94, 10, 50, 18, 42, 6, 13, 45, 43, 58, 71, 64, 78, 36, 21, 82, 28, 49, 37, 47, 29, 80, 38, 39, 17, 69, 1, 57, 98, 62, 67, 12, 93, 92, 54, 65, 44, 4, 55, 70, 3]",175960,0.55,109.88,10,1.0,2.0,1
