instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Sko72,42,0.05,"[61, 16, 12, 0, 69, 43, 58, 28, 9, 38, 6, 10, 48, 25, 70, 17, 54, 55, 42, 30, 34, 29, 32, 63, 71, 26, 47, 45, 51, 66, 24, 40, 36, 5, 2, 3, 1, 15, 39, 22, 20, 53, 49, 31, 59, 62, 60, 44, 50, 68, 23, 21, 56, 65, 52, 8, 46, 14, 33, 27, 18, 11, 19, 35, 57, 7, 41, 13, 4, 37, 67, 64]",80130,0.33,109.88,10,1.0,2.0,1
Sko72,43,0.05,"[4, 22, 61, 70, 27, 46, 8, 26, 47, 42, 51, 44, 69, 64, 71, 31, 3, 9, 14, 15, 18, 62, 19, 21, 65, 11, 10, 6, 39, 35, 17, 23, 36, 5, 37, 66, 57, 52, 43, 0, 53, 33, 50, 58, 28, 54, 7, 38, 1, 29, 59, 16, 45, 67, 2, 63, 32, 30, 56, 34, 24, 41, 13, 49, 25, 48, 55, 40, 20, 60, 12, 68]",80116,0.37,109.88,10,1.0,2.0,1
Sko72,44,0.05,"[69, 2, 17, 70, 50, 3, 9, 57, 46, 14, 26, 4, 47, 23, 59, 24, 42, 55, 1, 63, 13, 71, 37, 28, 36, 8, 12, 53, 22, 61, 5, 41, 33, 48, 7, 64, 31, 34, 6, 38, 21, 35, 62, 56, 39, 49, 67, 10, 68, 25, 52, 15, 18, 27, 30, 40, 29, 65, 32, 11, 19, 66, 58, 20, 60, 43, 45, 16, 44, 51, 54, 0]",79392,0.33,109.88,10,1.0,2.0,1
Sko72,45,0.05,"[36, 40, 30, 34, 70, 25, 50, 26, 71, 31, 3, 41, 27, 49, 53, 60, 20, 38, 44, 63, 52, 45, 33, 68, 46, 17, 58, 66, 62, 69, 64, 15, 23, 59, 0, 61, 35, 19, 39, 18, 37, 32, 56, 57, 9, 24, 21, 65, 7, 51, 43, 14, 29, 48, 11, 10, 13, 1, 8, 2, 47, 16, 6, 67, 22, 12, 54, 55, 4, 42, 5, 28]",79960,0.26,109.88,10,1.0,2.0,1
Sko72,46,0.05,"[22, 2, 69, 62, 29, 35, 59, 47, 40, 13, 41, 64, 63, 12, 0, 14, 43, 60, 57, 42, 24, 56, 33, 17, 46, 52, 39, 38, 44, 51, 36, 5, 61, 67, 34, 30, 70, 4, 31, 28, 71, 15, 45, 1, 18, 55, 10, 9, 23, 48, 3, 68, 25, 19, 26, 20, 11, 65, 32, 37, 66, 58, 50, 21, 6, 8, 53, 49, 27, 54, 7, 16]",79530,0.24,109.88,10,1.0,2.0,1
Sko72,47,0.05,"[45, 7, 51, 43, 15, 24, 53, 49, 46, 68, 3, 59, 50, 44, 6, 55, 20, 33, 17, 35, 37, 18, 34, 47, 19, 22, 52, 16, 48, 64, 71, 13, 2, 56, 36, 28, 21, 60, 12, 63, 29, 14, 1, 8, 10, 67, 62, 69, 54, 57, 26, 25, 38, 11, 32, 65, 40, 9, 23, 70, 27, 5, 58, 66, 31, 4, 0, 61, 39, 30, 42, 41]",80066,0.28,109.88,10,1.0,2.0,1
Sko72,48,0.05,"[3, 53, 8, 6, 69, 55, 30, 12, 63, 33, 66, 41, 2, 61, 64, 23, 48, 71, 15, 45, 7, 60, 68, 9, 31, 43, 47, 70, 65, 10, 38, 24, 16, 42, 51, 57, 27, 14, 59, 62, 29, 52, 22, 19, 1, 54, 17, 56, 39, 49, 25, 26, 21, 28, 67, 34, 50, 44, 40, 36, 5, 58, 46, 35, 18, 32, 37, 20, 11, 4, 13, 0]",79070,0.31,109.88,10,1.0,2.0,1
Sko72,49,0.05,"[60, 32, 63, 18, 59, 23, 48, 64, 49, 46, 17, 6, 8, 68, 25, 52, 35, 42, 57, 56, 21, 38, 1, 54, 69, 55, 4, 15, 14, 33, 41, 5, 36, 13, 53, 11, 0, 22, 39, 61, 50, 9, 65, 51, 66, 58, 20, 40, 3, 31, 43, 45, 7, 2, 34, 70, 71, 26, 19, 47, 16, 44, 27, 30, 12, 10, 37, 62, 29, 28, 67, 24]",79058,0.32,109.88,10,1.0,2.0,1
Sko72,50,0.05,"[6, 69, 2, 13, 63, 37, 28, 35, 61, 22, 39, 30, 53, 0, 17, 50, 3, 27, 31, 49, 38, 20, 26, 25, 70, 12, 8, 10, 9, 21, 24, 59, 62, 15, 43, 36, 56, 71, 57, 7, 48, 29, 32, 18, 1, 47, 64, 23, 58, 5, 34, 68, 46, 11, 4, 60, 44, 40, 55, 16, 45, 33, 41, 52, 54, 42, 51, 65, 66, 14, 67, 19]",80592,0.34,109.88,10,1.0,2.0,1
Sko72,51,0.05,"[32, 65, 21, 19, 11, 48, 57, 29, 59, 0, 64, 49, 17, 58, 68, 69, 47, 5, 61, 6, 51, 26, 67, 12, 10, 9, 38, 37, 28, 31, 60, 53, 30, 42, 54, 63, 39, 52, 70, 34, 24, 16, 55, 4, 15, 45, 33, 66, 18, 3, 2, 50, 23, 43, 36, 8, 20, 22, 62, 56, 27, 46, 14, 1, 13, 71, 35, 41, 44, 40, 7, 25]",79398,0.34,109.88,10,1.0,2.0,1
