instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Tai15b,42,"[0, 8, 3, 5, 7, 14, 6, 10, 2, 4, 1, 13, 12, 11, 9]",51765268,19.98,120.72
Tai15b,43,"[0, 8, 3, 5, 7, 14, 6, 10, 2, 4, 1, 13, 12, 11, 9]",51765268,44.9,120.72
Tai15b,44,"[0, 8, 3, 5, 2, 14, 6, 10, 11, 7, 1, 13, 12, 4, 9]",51866297,19.25,120.72
Tai15b,45,"[14, 13, 7, 1, 2, 11, 0, 5, 12, 8, 6, 3, 10, 4, 9]",51881760,21.08,120.72
Tai15b,46,"[0, 8, 3, 5, 7, 14, 6, 10, 2, 4, 1, 13, 12, 11, 9]",51765268,30.0,120.72
Tai15b,47,"[11, 6, 0, 13, 14, 10, 8, 12, 5, 1, 2, 7, 4, 3, 9]",51916649,20.54,120.72
Tai15b,48,"[0, 8, 3, 5, 7, 14, 6, 10, 2, 4, 1, 13, 12, 11, 9]",51765268,31.23,120.72
Tai15b,49,"[14, 13, 7, 1, 2, 11, 0, 5, 12, 8, 6, 3, 10, 4, 9]",51881760,24.4,120.72
Tai15b,50,"[0, 8, 3, 5, 7, 14, 6, 10, 2, 4, 1, 13, 12, 11, 9]",51765268,20.82,120.72
Tai15b,51,"[14, 4, 8, 6, 11, 12, 13, 0, 1, 5, 10, 3, 2, 7, 9]",51838283,19.15,120.72
