instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Tai60b,42,0.05,"[9, 18, 8, 57, 53, 49, 41, 27, 4, 20, 58, 38, 16, 15, 39, 3, 46, 43, 59, 34, 6, 36, 55, 14, 30, 28, 56, 48, 35, 44, 29, 22, 33, 26, 47, 37, 17, 1, 0, 40, 32, 2, 50, 11, 5, 7, 13, 42, 23, 19, 31, 52, 54, 25, 10, 45, 24, 21, 51, 12]",968980572,0.18,126.25,10,1.0,2.0,1
Tai60b,43,0.05,"[50, 38, 2, 0, 45, 14, 44, 35, 17, 46, 27, 15, 55, 41, 52, 39, 37, 32, 29, 6, 57, 20, 56, 28, 25, 47, 54, 24, 42, 59, 8, 1, 23, 3, 19, 7, 10, 4, 51, 22, 33, 11, 53, 26, 12, 30, 21, 58, 34, 16, 48, 13, 49, 18, 5, 36, 40, 43, 9, 31]",993878494,0.17,126.25,10,1.0,2.0,1
Tai60b,44,0.05,"[35, 28, 40, 9, 1, 47, 49, 43, 58, 16, 46, 22, 33, 57, 26, 29, 59, 24, 11, 55, 36, 14, 10, 0, 6, 54, 32, 45, 8, 44, 27, 48, 18, 50, 30, 5, 53, 13, 42, 34, 23, 17, 19, 3, 4, 7, 56, 15, 12, 20, 39, 51, 41, 21, 52, 2, 37, 25, 38, 31]",918113916,0.2,126.25,10,1.0,2.0,1
Tai60b,45,0.05,"[31, 3, 28, 25, 24, 39, 34, 14, 51, 49, 55, 9, 35, 15, 7, 56, 40, 33, 50, 48, 19, 12, 58, 22, 23, 11, 36, 42, 59, 5, 16, 57, 29, 32, 41, 21, 17, 53, 37, 1, 0, 47, 44, 30, 18, 38, 10, 20, 6, 13, 54, 45, 27, 4, 52, 43, 26, 46, 2, 8]",931563747,0.18,126.25,10,1.0,2.0,1
Tai60b,46,0.05,"[17, 4, 44, 10, 3, 52, 41, 29, 59, 42, 35, 25, 37, 54, 45, 39, 55, 48, 13, 47, 56, 36, 5, 51, 14, 49, 9, 24, 46, 32, 11, 31, 40, 57, 15, 53, 28, 6, 8, 0, 38, 16, 19, 43, 20, 22, 23, 18, 34, 26, 12, 58, 7, 21, 33, 27, 30, 2, 50, 1]",926607636,0.18,126.25,10,1.0,2.0,1
Tai60b,47,0.05,"[49, 43, 56, 40, 5, 55, 23, 15, 53, 30, 16, 10, 57, 50, 39, 26, 17, 42, 58, 25, 13, 7, 4, 48, 35, 54, 28, 44, 20, 36, 6, 29, 1, 47, 27, 32, 51, 14, 9, 59, 19, 37, 46, 22, 18, 11, 2, 38, 45, 52, 41, 21, 31, 34, 12, 8, 24, 0, 3, 33]",997264205,0.16,126.25,10,1.0,2.0,1
Tai60b,48,0.05,"[55, 14, 4, 7, 45, 2, 38, 58, 15, 26, 43, 21, 50, 44, 57, 52, 32, 25, 54, 6, 28, 23, 18, 12, 36, 39, 37, 31, 34, 16, 51, 17, 42, 0, 30, 47, 53, 27, 24, 10, 19, 3, 9, 8, 56, 13, 46, 48, 35, 49, 20, 11, 5, 22, 33, 59, 40, 29, 1, 41]",942055372,0.19,126.25,10,1.0,2.0,1
Tai60b,49,0.05,"[2, 54, 35, 26, 59, 22, 56, 13, 43, 15, 5, 55, 46, 31, 17, 39, 40, 4, 49, 37, 23, 3, 0, 28, 24, 8, 38, 27, 41, 48, 14, 11, 53, 12, 30, 10, 42, 9, 1, 34, 58, 50, 36, 33, 57, 21, 18, 25, 29, 6, 45, 32, 7, 47, 44, 20, 19, 52, 16, 51]",952048005,0.16,126.25,10,1.0,2.0,1
Tai60b,50,0.05,"[30, 59, 52, 49, 48, 13, 39, 3, 8, 18, 15, 1, 34, 58, 2, 14, 56, 29, 28, 33, 47, 37, 25, 17, 42, 0, 35, 36, 4, 12, 26, 44, 24, 32, 21, 31, 57, 6, 9, 7, 10, 19, 38, 51, 55, 11, 23, 22, 54, 53, 45, 5, 27, 41, 43, 16, 20, 50, 40, 46]",962894672,0.17,126.25,10,1.0,2.0,1
Tai60b,51,0.05,"[15, 50, 35, 16, 59, 52, 13, 48, 29, 28, 44, 26, 12, 42, 22, 10, 46, 0, 4, 25, 2, 39, 51, 20, 19, 36, 43, 55, 30, 45, 1, 57, 6, 5, 9, 7, 49, 41, 38, 17, 33, 58, 56, 24, 54, 53, 47, 18, 23, 34, 40, 31, 14, 11, 32, 27, 3, 8, 37, 21]",980014263,0.17,126.25,10,1.0,2.0,1
