instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Tai80a,42,0.05,"[0, 16, 61, 10, 56, 78, 33, 15, 41, 57, 75, 58, 71, 11, 3, 67, 27, 22, 28, 39, 32, 69, 60, 9, 13, 48, 40, 21, 20, 24, 30, 19, 37, 42, 55, 36, 77, 63, 8, 79, 52, 62, 54, 44, 51, 26, 34, 14, 59, 7, 74, 1, 53, 4, 46, 70, 45, 68, 18, 47, 2, 65, 31, 17, 35, 50, 66, 29, 72, 49, 73, 23, 12, 25, 43, 6, 64, 76, 5, 38]",15479208,0.26,126.25,10,1.0,2.0,1
Tai80a,43,0.05,"[70, 45, 68, 7, 29, 72, 36, 77, 15, 41, 57, 75, 58, 71, 11, 3, 10, 61, 17, 31, 43, 25, 12, 21, 20, 24, 0, 16, 53, 4, 46, 39, 32, 69, 60, 9, 47, 18, 42, 37, 22, 28, 40, 48, 13, 56, 78, 33, 19, 30, 44, 51, 26, 34, 55, 14, 59, 67, 27, 66, 50, 23, 73, 76, 74, 1, 35, 65, 6, 64, 8, 38, 2, 52, 79, 49, 63, 5, 62, 54]",15482970,0.38,126.25,10,1.0,2.0,1
Tai80a,44,0.05,"[55, 36, 77, 13, 23, 73, 76, 74, 1, 44, 51, 26, 34, 38, 4, 46, 20, 21, 40, 48, 78, 33, 15, 41, 57, 75, 58, 71, 11, 3, 10, 61, 19, 30, 24, 0, 16, 29, 64, 8, 59, 14, 53, 2, 47, 18, 22, 28, 32, 69, 60, 9, 56, 70, 45, 68, 7, 63, 62, 25, 43, 31, 17, 54, 27, 49, 72, 6, 42, 37, 5, 39, 50, 66, 52, 79, 35, 67, 12, 65]",15470084,0.32,126.25,10,1.0,2.0,1
Tai80a,45,0.05,"[23, 13, 48, 40, 21, 20, 53, 4, 46, 70, 45, 68, 17, 31, 5, 69, 60, 9, 52, 72, 36, 77, 41, 15, 33, 78, 56, 10, 3, 11, 71, 58, 47, 18, 7, 59, 14, 29, 64, 35, 22, 28, 65, 0, 24, 30, 54, 37, 1, 74, 76, 73, 49, 38, 27, 67, 57, 75, 34, 26, 12, 62, 55, 44, 51, 50, 66, 61, 79, 39, 32, 43, 25, 63, 42, 6, 8, 2, 19, 16]",15467164,0.31,126.25,10,1.0,2.0,1
Tai80a,46,0.05,"[17, 31, 5, 69, 60, 9, 28, 15, 41, 29, 64, 2, 53, 20, 21, 40, 48, 13, 76, 36, 77, 63, 0, 24, 30, 54, 37, 22, 68, 45, 70, 59, 14, 50, 23, 73, 25, 43, 10, 56, 78, 33, 38, 4, 46, 19, 75, 57, 71, 58, 47, 18, 7, 3, 11, 52, 79, 34, 26, 12, 16, 61, 66, 67, 27, 49, 72, 6, 42, 55, 44, 51, 35, 1, 74, 62, 8, 39, 32, 65]",15500036,0.3,126.25,10,1.0,2.0,1
Tai80a,47,0.05,"[28, 22, 47, 18, 7, 74, 1, 44, 51, 3, 10, 61, 76, 13, 48, 40, 21, 20, 53, 4, 46, 70, 45, 68, 17, 31, 5, 15, 41, 57, 75, 58, 71, 11, 9, 60, 69, 23, 12, 26, 34, 62, 56, 78, 33, 64, 77, 36, 72, 49, 24, 0, 16, 29, 14, 59, 73, 2, 66, 50, 42, 37, 54, 30, 19, 65, 43, 25, 27, 67, 32, 39, 8, 38, 35, 55, 6, 52, 79, 63]",15541900,0.26,126.25,10,1.0,2.0,1
Tai80a,48,0.05,"[70, 45, 68, 22, 37, 42, 69, 60, 9, 52, 21, 20, 0, 24, 30, 19, 75, 57, 41, 15, 33, 78, 56, 13, 76, 74, 1, 44, 51, 3, 11, 71, 58, 47, 18, 7, 61, 10, 26, 12, 23, 73, 59, 14, 39, 32, 77, 36, 72, 29, 40, 17, 31, 5, 34, 62, 55, 46, 4, 53, 2, 38, 27, 67, 6, 64, 35, 43, 25, 79, 65, 63, 50, 66, 48, 49, 28, 8, 54, 16]",15435226,0.3,126.25,10,1.0,2.0,1
Tai80a,49,0.05,"[47, 58, 71, 11, 3, 10, 61, 36, 77, 13, 23, 73, 76, 74, 1, 53, 4, 46, 20, 21, 75, 57, 2, 55, 44, 51, 26, 34, 62, 12, 25, 14, 59, 70, 45, 68, 7, 18, 42, 37, 22, 28, 15, 41, 29, 72, 49, 24, 30, 19, 43, 63, 0, 16, 39, 32, 67, 33, 78, 56, 9, 60, 69, 5, 31, 17, 54, 40, 48, 79, 52, 6, 64, 35, 27, 38, 8, 65, 50, 66]",15456566,0.28,126.25,10,1.0,2.0,1
Tai80a,50,0.05,"[20, 21, 38, 4, 46, 70, 45, 68, 35, 23, 13, 76, 74, 1, 10, 3, 11, 9, 60, 69, 5, 15, 41, 57, 75, 58, 71, 73, 59, 14, 29, 66, 33, 78, 56, 44, 51, 0, 24, 30, 19, 17, 31, 43, 25, 12, 26, 34, 79, 18, 47, 2, 53, 61, 7, 62, 37, 54, 22, 28, 72, 36, 77, 63, 8, 64, 6, 52, 49, 27, 67, 32, 39, 50, 42, 55, 65, 40, 48, 16]",15484922,0.26,126.25,10,1.0,2.0,1
Tai80a,51,0.05,"[78, 56, 13, 76, 75, 57, 41, 15, 33, 23, 69, 60, 9, 11, 3, 10, 61, 12, 21, 20, 0, 16, 63, 24, 30, 19, 37, 46, 4, 38, 36, 77, 26, 34, 14, 59, 7, 74, 1, 53, 68, 45, 70, 44, 51, 67, 27, 22, 28, 47, 18, 5, 31, 17, 40, 42, 55, 62, 32, 39, 50, 66, 29, 72, 49, 6, 52, 79, 65, 25, 43, 73, 64, 8, 58, 71, 54, 2, 35, 48]",15446302,0.23,126.25,10,1.0,2.0,1
