instancia,seed,rho,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,Q
Tho40,42,0.05,"[4, 2, 10, 20, 6, 14, 7, 13, 28, 19, 18, 11, 16, 38, 30, 24, 3, 33, 8, 17, 39, 32, 26, 27, 34, 29, 9, 0, 22, 21, 25, 36, 37, 15, 23, 5, 35, 12, 1, 31]",332190,0.08,126.25,10,1.0,2.0,1
Tho40,43,0.05,"[11, 16, 39, 6, 24, 20, 2, 5, 36, 30, 8, 9, 38, 27, 26, 32, 10, 22, 37, 12, 7, 33, 25, 17, 4, 34, 13, 29, 19, 15, 28, 1, 3, 18, 21, 23, 35, 0, 31, 14]",338836,0.07,126.25,10,1.0,2.0,1
Tho40,44,0.05,"[34, 12, 24, 15, 20, 10, 25, 19, 23, 5, 26, 8, 30, 7, 13, 35, 37, 17, 16, 21, 9, 18, 36, 28, 22, 27, 0, 3, 2, 32, 11, 14, 6, 1, 4, 29, 31, 38, 39, 33]",329060,0.06,126.25,10,1.0,2.0,1
Tho40,45,0.05,"[28, 24, 6, 39, 38, 23, 13, 22, 30, 8, 34, 12, 37, 18, 4, 17, 35, 31, 10, 29, 9, 14, 25, 36, 26, 3, 33, 5, 2, 16, 21, 27, 11, 7, 15, 20, 19, 32, 1, 0]",328134,0.05,126.25,10,1.0,2.0,1
Tho40,46,0.05,"[15, 37, 27, 5, 35, 19, 16, 26, 36, 29, 39, 3, 33, 25, 10, 22, 32, 24, 14, 7, 13, 34, 30, 4, 1, 8, 17, 31, 38, 11, 9, 20, 18, 2, 12, 0, 28, 23, 21, 6]",331880,0.05,126.25,10,1.0,2.0,1
Tho40,47,0.05,"[16, 5, 18, 34, 33, 36, 21, 30, 8, 25, 3, 14, 6, 37, 22, 24, 32, 4, 11, 38, 26, 19, 39, 15, 13, 12, 0, 28, 31, 29, 35, 17, 9, 20, 10, 23, 27, 2, 1, 7]",333170,0.1,126.25,10,1.0,2.0,1
Tho40,48,0.05,"[13, 35, 4, 8, 14, 29, 30, 39, 32, 1, 16, 2, 34, 0, 11, 23, 36, 7, 33, 5, 19, 27, 21, 24, 17, 25, 28, 22, 6, 3, 18, 10, 15, 20, 9, 38, 26, 37, 12, 31]",340080,0.08,126.25,10,1.0,2.0,1
Tho40,49,0.05,"[16, 39, 34, 29, 31, 37, 12, 9, 17, 20, 3, 26, 19, 15, 30, 10, 35, 38, 25, 11, 2, 8, 4, 24, 14, 21, 27, 22, 13, 33, 23, 28, 1, 7, 0, 36, 18, 5, 6, 32]",344274,0.08,126.25,10,1.0,2.0,1
Tho40,50,0.05,"[18, 10, 32, 30, 12, 25, 17, 36, 23, 15, 26, 27, 24, 13, 28, 39, 29, 35, 5, 16, 11, 4, 8, 1, 2, 20, 34, 38, 9, 37, 31, 6, 14, 3, 0, 22, 19, 33, 21, 7]",337168,0.06,126.25,10,1.0,2.0,1
Tho40,51,0.05,"[15, 35, 21, 11, 38, 31, 9, 36, 24, 18, 27, 20, 10, 29, 13, 7, 30, 1, 3, 19, 5, 26, 32, 8, 12, 17, 34, 37, 22, 28, 0, 39, 2, 4, 6, 14, 25, 33, 23, 16]",319716,0.07,126.25,10,1.0,2.0,1
