instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr12a,1,22732,0.02,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.63,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.63,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.63,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,5.27,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,7.87,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,10.46,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,10.46,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,10.46,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,12.91,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,12.91,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,12.92,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,15.71,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,15.71,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,18.32,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,18.32,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,20.94,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,20.94,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,20.94,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,23.42,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,23.42,107.56,5,30,0.4,0.4,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
