instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr15c,1,39526,0.02,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,0.3,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,0.72,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,0.72,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.15,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.59,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.59,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.59,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.59,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.59,111.34,5,30,0.4,0.4,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
