instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr18b,1,2920,0.01,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,0.99,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,0.99,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,1.3,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,1.75,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,1.75,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,1.75,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,2.29,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,2.75,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,2.75,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,2.75,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,3.21,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,3.21,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,3.67,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,4.14,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,4.71,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,4.71,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,4.71,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.34,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.34,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.34,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.34,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.34,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.74,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,5.74,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,6.44,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,6.44,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,6.44,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,6.45,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,7.11,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,1,2920,7.11,111.34,5,30,0.4,0.4,5,18,42,"[8, 12, 13, 2, 6, 3, 15, 0, 16, 14, 17, 11, 10, 5, 7, 4, 9, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.12,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.13,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.13,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.42,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.42,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.42,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.42,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.9,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.9,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.9,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,7.9,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,8.2,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
Chr18b,2,1600,8.57,111.34,5,30,0.4,0.4,5,18,42,"[13, 10, 16, 11, 15, 14, 12, 17, 9, 5, 6, 4, 7, 3, 8, 0, 2, 1]"
