instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr25a,1,15086,0.04,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,0.05,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,0.05,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,6.97,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,6.98,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,6.98,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,12.13,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,12.13,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.09,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.09,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.09,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.09,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.09,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.1,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.1,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.1,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.1,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.1,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,19.1,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,27.16,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,27.16,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,34.25,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,34.25,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,34.25,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,34.26,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,34.26,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,40.24,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,40.25,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,45.92,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,45.93,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,1,15086,45.93,111.34,5,30,0.4,0.4,5,25,42,"[19, 17, 10, 22, 20, 12, 11, 4, 0, 1, 7, 23, 13, 24, 6, 21, 2, 9, 14, 5, 18, 15, 16, 3, 8]"
Chr25a,2,5342,45.98,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,48.51,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,48.51,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.54,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.54,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.54,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.54,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.54,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.54,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,54.55,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,57.18,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,57.18,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,57.18,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,61.39,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,61.39,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,61.39,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,61.39,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
Chr25a,2,5342,61.4,111.34,5,30,0.4,0.4,5,25,42,"[20, 6, 15, 7, 23, 1, 4, 3, 14, 10, 21, 22, 16, 11, 19, 8, 24, 9, 13, 5, 18, 17, 2, 12, 0]"
