instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc16a,1,94,0.01,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,1.36,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,1.36,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,1.36,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,1.36,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,1.37,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,1.37,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,2.64,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,3.76,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,5.06,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,6.18,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,6.18,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,6.18,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,7.36,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,7.36,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
Esc16a,1,94,7.37,107.56,5,30,0.4,0.4,5,16,42,"[9, 0, 15, 13, 11, 12, 5, 1, 8, 10, 14, 7, 3, 6, 4, 2]"
