instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc32e,1,14,0.06,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,0.06,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.59,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.6,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.6,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.6,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.6,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.6,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.6,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.61,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,5.61,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,10.8,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,10.8,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,10.8,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,10.8,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,16.3,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,16.3,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,21.07,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,25.64,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,25.64,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,31.28,111.34,5,30,0.4,0.4,5,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
