instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Lipa20b,1,34320,0.04,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,0.05,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,7.59,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,7.6,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,15.14,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,15.14,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,15.14,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,22.75,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,30.55,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,30.55,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,30.55,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,30.55,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,38.48,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,46.27,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,53.98,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,53.98,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,53.99,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,53.99,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,61.75,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,61.75,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,69.39,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,76.88,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,84.41,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,84.41,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,84.41,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,91.39,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,98.68,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,106.31,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,106.31,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,114.07,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,1,34320,114.07,121.36,5,30,0.4,0.4,5,20,42,"[12, 4, 8, 7, 0, 13, 1, 6, 3, 18, 19, 15, 10, 14, 16, 9, 17, 11, 5, 2]"
Lipa20b,2,27076,114.11,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,114.11,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,121.44,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,128.96,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,128.96,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,136.55,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,136.55,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,144.48,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,152.2,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,160.03,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,167.9,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,167.9,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,167.91,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,175.8,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,175.8,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,175.81,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,183.68,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,191.44,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,191.45,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,191.45,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,199.11,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,206.97,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,206.97,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,206.98,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,206.98,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,214.61,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,214.62,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
Lipa20b,2,27076,214.62,121.36,5,30,0.4,0.4,5,20,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
