instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Lipa50a,1,63751,0.08,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,0.08,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,0.08,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,0.08,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,0.08,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,0.09,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,20.92,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,20.92,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,40.56,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
Lipa50a,1,63751,40.56,121.36,5,30,0.4,0.4,5,50,42,"[31, 44, 13, 39, 35, 6, 7, 22, 38, 8, 12, 34, 32, 23, 33, 47, 42, 3, 27, 1, 48, 17, 28, 45, 43, 41, 25, 20, 49, 37, 4, 10, 26, 0, 15, 40, 24, 46, 11, 5, 2, 21, 29, 30, 14, 16, 9, 36, 18, 19]"
