instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Rou12,1,280472,0.01,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,3.07,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,3.08,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,6.0,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,6.0,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,9.17,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,9.17,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,12.3,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,12.3,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,15.46,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,15.46,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,15.46,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,15.46,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,18.58,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,18.58,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,18.58,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,21.74,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,24.8,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,24.8,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,24.8,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,24.8,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,27.94,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,27.94,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,27.95,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,27.95,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,27.95,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,27.95,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,31.05,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,31.05,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,34.22,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,1,280472,34.22,107.94,5,30,0.4,0.4,5,12,42,"[0, 10, 8, 5, 3, 4, 2, 9, 7, 6, 11, 1]"
Rou12,2,242542,34.24,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,37.59,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,37.6,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,41.84,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,41.84,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,41.84,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,41.84,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,41.85,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,41.85,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,44.34,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,44.34,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,44.34,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,46.61,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,49.62,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,49.62,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,52.24,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,52.24,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,52.24,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,54.72,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,54.72,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.71,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.71,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.71,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.71,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.72,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.72,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,57.72,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,60.93,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,60.93,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,60.94,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,2,242542,60.94,107.94,5,30,0.4,0.4,5,12,42,"[8, 10, 4, 9, 0, 2, 7, 3, 5, 6, 11, 1]"
Rou12,3,240906,60.96,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,60.96,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,64.14,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,64.14,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,64.14,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,64.14,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,64.15,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,64.15,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,67.16,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,67.16,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,67.16,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,67.16,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,67.16,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,67.17,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,70.43,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,73.57,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.79,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.79,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.79,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.79,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.79,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.8,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,76.8,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,80.05,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,80.05,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,80.05,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,80.06,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,83.65,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,86.87,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,86.87,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,3,240906,90.17,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,4,240906,90.19,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,4,240906,90.19,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
Rou12,4,240906,93.42,107.94,5,30,0.4,0.4,5,12,42,"[11, 10, 6, 3, 0, 2, 7, 1, 5, 4, 8, 9]"
