instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Ste36b,1,57146,0.07,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,0.07,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,12.15,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,23.25,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,23.25,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,34.63,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.77,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.77,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.77,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.77,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.78,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.78,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.78,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.78,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,48.79,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,70.53,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,70.53,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,85.63,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,85.63,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,85.63,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,85.63,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,101.44,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,101.44,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,114.54,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,138.14,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,138.15,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,138.15,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,151.29,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,164.89,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,177.31,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
Ste36b,1,57146,191.29,107.86,5,30,0.4,0.4,5,36,42,"[5, 13, 4, 17, 23, 12, 1, 35, 24, 7, 9, 16, 14, 0, 6, 19, 18, 25, 15, 20, 8, 32, 10, 26, 3, 11, 22, 34, 31, 21, 33, 30, 2, 29, 27, 28]"
