instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Tai15b,1,53461215,0.02,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,4.45,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,4.46,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,8.76,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,8.77,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,13.08,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,13.09,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,17.33,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,21.69,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,25.96,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,25.96,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,30.3,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,30.3,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,30.31,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,34.59,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,34.59,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
Tai15b,1,53461215,34.59,107.86,5,30,0.4,0.4,5,15,42,"[2, 1, 6, 4, 0, 12, 14, 5, 10, 11, 8, 7, 3, 13, 9]"
